workman,y
1,318
1,289
1,309
1,317
1,286
1,281
1,284
1,288
1,293
1,264
1,298
1,268
1,287
1,299
1,318
1,273
1,270
1,294
1,286
1,283
2,242
2,246
2,246
2,233
2,257
2,244
2,234
2,258
2,243
2,249
2,250
2,223
2,236
2,225
2,241
2,229
2,248
2,248
2,236
2,246
3,311
3,315
3,315
3,321
3,314
3,347
3,285
3,362
3,337
3,314
3,309
3,335
3,314
3,347
3,368
3,324
3,333
3,319
3,290
3,333
4,266
4,256
4,271
4,268
4,285
4,267
4,274
4,266
4,258
4,261
4,257
4,271
4,257
4,254
4,272
4,275
4,242
4,235
4,262
4,260
5,316
5,335
5,301
5,291
5,288
5,307
5,325
5,326
5,346
5,307
5,318
5,325
5,312
5,307
5,308
5,304
5,313
5,320
5,337
5,311
6,325
6,327
6,330
6,349
6,349
6,337
6,333
6,341
6,385
6,349
6,392
6,346
6,351
6,377
6,378
6,323
6,398
6,321
6,355
6,348
7,235
7,241
7,225
7,233
7,218
7,234
7,245
7,212
7,231
7,258
7,227
7,239
7,222
7,241
7,241
7,245
7,239
7,234
7,223
7,253
8,301
8,308
8,301
8,325
8,320
8,272
8,305
8,287
8,292
8,304
8,308
8,314
8,286
8,306
8,338
8,316
8,331
8,306
8,320
8,292
9,255
9,272
9,258
9,285
9,260
9,273
9,277
9,272
9,296
9,270
9,261
9,278
9,266
9,296
9,260
9,264
9,292
9,273
9,276
9,285
10,266
10,255
10,255
10,267
10,254
10,277
10,258
10,279
10,288
10,258
10,262
10,278
10,266
10,264
10,257
10,282
10,243
10,266
10,243
10,260
